Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Virtual event,Financial|Media Sponsorship|Financial,160509.1|3371.42|168605.75,8890,217917.43,369770.05,69.68
Conferences and seminars,In Kind|Merchandise|Philanthropy|Merchandise|Influencer,44946.46|35417.84|84947.98|25088.6|7718.64,4209,163251.56,276316.32,69.26
Community and Charity events,Influencer,86118.76,2311,68025.93,102790.47,51.1
Entertainment and media events,Philanthropy|Financial|Media Sponsorship|Philanthropy,43987.27|103359.88|44355.61|44651.13,35559,147705.74,195281.48,32.21
Sports events,Financial|Influencer,102911.45|33236.25,39015,98166.51,170190.68,73.37
Conferences and seminars,Financial|Philanthropy|Philanthropy,114250.24|46211.41|88940.98,4947,182256.44,217141.89,19.14
Virtual event,Influencer|Media Sponsorship|Philanthropy|Merchandise,92142.68|63339.73|40122.16|31102.11,867,148582.19,271674.9,82.84
Sports events,Philanthropy,50983.84,82522,45344.99,90311.68,99.17
Community and Charity events,Food Stalls|In Kind|Merchandise|Food Stalls|Philanthropy,3879.02|71169.49|32949.43|31110.46|17941.34,3551,137262.72,161327.44,17.53
Sports events,Influencer|Media Sponsorship|Food Stalls|In Kind,42093.32|18758.41|21491.5|24844.29,69890,68043.13,93781.05,37.83
Sports events,Food Stalls|Media Sponsorship|Influencer|Food Stalls,48910.2|56221.88|98814.51|9630.84,73520,135152.17,187919.01,39.04
Virtual event,Media Sponsorship|Merchandise,29910.02|18941.32,1667,41814.81,56481.08,35.07
Entertainment and media events,Financial|In Kind|Financial,173343.13|73673.28|104742.36,14354,299265.87,561679.89,87.69
Virtual event,Media Sponsorship|Media Sponsorship,19564.57|99021.94,1649,100793.32,196227.45,94.68
Festivals and fairs,Influencer,92903.04,33555,75856.36,128495.56,69.39
Virtual event,Financial|Media Sponsorship,171377.63|58945.5,1572,191201.95,232758.83,21.73
Virtual event,Influencer|Media Sponsorship|In Kind|Influencer|Media Sponsorship,65481.35|73872.76|5519.11|58423.82|66996.89,1471,226253.21,389108.61,71.98
Sports events,In Kind|Food Stalls|In Kind|Food Stalls,65014.15|38596.92|16624.16|45846.61,36300,108242.9,123187.47,13.81
Sports events,Financial|Financial|Philanthropy,41999.99|48983.5|21025.62,99424,88992.02,150329.65,68.92
Conferences and seminars,Food Stalls|Influencer,40112.99|50692.22,1708,59084.32,74663.88,26.37
Sports events,Financial|In Kind|Philanthropy|Media Sponsorship|Financial,152546.48|62282.86|21306.96|71317.43|137935.13,6214,323579.25,372852.83,15.23
Sports events,Philanthropy,41097.54,71902,29154.31,43134.98,47.95
Community and Charity events,Financial|Financial|Merchandise|In Kind|Philanthropy,73145.53|5009.27|31161.77|85998.15|97807.61,445,198394.44,302572.59,52.51
Community and Charity events,Media Sponsorship|Merchandise|Financial|Influencer|Merchandise,34936.57|7855.8|59408.25|80924.3|46880.65,1890,181619.39,277298.57,52.68
Community and Charity events,Merchandise|In Kind|Food Stalls|Influencer|Merchandise,23055.72|93936.24|16058.34|87525.38|29347.93,2709,182719.7,259168.46,41.84
Conferences and seminars,Media Sponsorship|In Kind|Financial|Food Stalls|Food Stalls,41017.06|15188.35|190667.3|28001.22|32589.12,2493,240006.37,359958.32,49.98
Community and Charity events,Philanthropy,6042.0,3348,4897.07,8813.62,79.98
Conferences and seminars,Food Stalls|Food Stalls|Financial,22992.56|43570.18|59113.4,4014,103711.36,169659.01,63.59
Virtual event,Financial|Influencer|Financial,13879.48|97770.76|5652.63,792,79360.43,118073.4,48.78
Festivals and fairs,Influencer|Merchandise|In Kind|Philanthropy,25414.09|15280.62|15880.97|18675.41,37381,49677.16,66137.53,33.13
Festivals and fairs,Financial,40088.75,17670,33597.28,48828.63,45.34
Sports events,In Kind|Media Sponsorship,87951.02|53945.18,74739,127052.47,236222.67,85.93
Festivals and fairs,Philanthropy|In Kind|Media Sponsorship|Media Sponsorship|Financial,69487.79|51485.67|43016.21|46771.51|28604.39,39773,196631.97,360514.69,83.34
Community and Charity events,Media Sponsorship|Media Sponsorship,9835.75|36085.62,336,40340.53,77582.97,92.32
Festivals and fairs,Merchandise,39141.61,76776,31399.84,40839.51,30.06
Community and Charity events,Food Stalls|Merchandise|Philanthropy,15085.69|11938.79|91238.4,2306,78155.47,137215.7,75.57
Conferences and seminars,Media Sponsorship|Financial|In Kind,10977.89|164992.81|25689.0,4943,164884.38,205067.45,24.37
Entertainment and media events,Media Sponsorship|Influencer|In Kind,29075.31|59014.81|98646.46,19757,152092.59,285572.38,87.76
Conferences and seminars,Merchandise|Merchandise|Food Stalls,35983.14|32041.6|17596.36,927,55230.88,66076.28,19.64
Festivals and fairs,Merchandise|Food Stalls|Food Stalls|Influencer,49447.24|20472.52|49283.35|69765.79,78360,120606.39,214100.0,77.52
Festivals and fairs,Philanthropy,92475.11,57900,60163.46,68724.7,14.23
Conferences and seminars,Food Stalls,48640.35,3853,35106.47,41468.48,18.12
Entertainment and media events,Merchandise|Media Sponsorship|Merchandise|In Kind|Merchandise,30317.57|87070.14|29970.5|66783.65|40028.81,3203,162094.28,295926.63,82.56
Entertainment and media events,Merchandise|Merchandise|Philanthropy|Financial,29668.45|31434.68|3367.89|160888.38,721,175645.49,256483.09,46.02
Entertainment and media events,Philanthropy|Food Stalls|Financial|Merchandise|Influencer,30828.07|19731.43|47943.49|43288.81|64861.8,38643,174535.07,279697.56,60.25
Sports events,Food Stalls|Merchandise,41427.16|3545.95,37213,31235.03,54425.53,74.25
Community and Charity events,Media Sponsorship|Philanthropy|Food Stalls|Financial|Media Sponsorship,59588.9|88287.09|5060.08|133344.03|29788.07,2618,275699.68,472194.22,71.27
Virtual event,Influencer|Financial|Philanthropy,99080.4|65420.06|29456.86,2268,141149.54,192092.31,36.09
Virtual event,Merchandise|Influencer|Financial|In Kind,15775.92|35818.38|108966.67|31550.99,5911,164674.31,314906.92,91.23
Sports events,Philanthropy|Financial|Media Sponsorship,74360.78|114932.5|97294.05,24746,208822.75,271415.72,29.97
Sports events,Food Stalls,8380.18,25364,7473.4,14814.83,98.23
Community and Charity events,Influencer|In Kind,70323.88|47828.51,1374,97112.16,172874.25,78.02
Sports events,Media Sponsorship|Influencer|Merchandise,70214.69|84216.49|20942.08,24115,140463.68,258292.92,83.89
Sports events,Media Sponsorship,39308.24,82495,28100.72,48061.38,71.03
Community and Charity events,Influencer|Food Stalls|Food Stalls,38349.11|35459.22|25268.38,2289,61106.95,80945.1,32.46
Sports events,Influencer|Financial|Financial|Media Sponsorship|Influencer,93070.81|145075.05|182177.42|23434.64|87075.18,29812,323430.36,576186.15,78.15
Virtual event,Philanthropy,26958.38,7332,18625.23,35505.68,90.63
Community and Charity events,Influencer|Media Sponsorship|Media Sponsorship|Influencer,21709.94|54813.11|50379.86|57998.96,3164,136521.3,202239.6,48.14
Sports events,Media Sponsorship,1887.55,57587,1644.69,2449.92,48.96
Conferences and seminars,In Kind|Merchandise,13881.72|21434.19,4815,25235.8,40154.54,59.12
Festivals and fairs,Merchandise|Influencer|Media Sponsorship,6015.42|36416.26|71474.1,8869,98242.24,119681.96,21.82
Sports events,Food Stalls|Media Sponsorship|Food Stalls,7462.5|87882.1|4723.66,63967,62925.34,123783.14,96.71
Festivals and fairs,Influencer|Food Stalls|Merchandise|Influencer,92540.29|1302.2|30319.22|69334.92,22607,140989.45,253435.85,79.76
Virtual event,Financial|Financial|Financial|Influencer,106126.73|44323.83|2041.57|54421.66,509,168834.16,332700.97,97.06
Conferences and seminars,Philanthropy|In Kind|In Kind,50753.64|33409.29|96822.92,3739,161551.4,230024.82,42.38
Festivals and fairs,Financial,154336.83,3792,131641.07,197565.48,50.08
Conferences and seminars,Merchandise|Philanthropy|Influencer|Merchandise,42787.37|17865.42|71977.33|12594.36,4286,128859.33,172480.27,33.85
Festivals and fairs,Merchandise,41826.01,65504,28902.66,37477.12,29.67
Virtual event,Merchandise,35947.55,9261,23532.0,46185.15,96.27
Sports events,Influencer|Food Stalls|Food Stalls,27067.33|7959.89|45459.19,1732,54487.77,73166.0,34.28
Conferences and seminars,Media Sponsorship,34070.81,1307,28214.59,47735.87,69.19
Festivals and fairs,Philanthropy|Financial|In Kind|Philanthropy,1099.82|189000.88|86165.96|26181.9,3011,237868.78,438925.88,84.52
Festivals and fairs,Philanthropy|Philanthropy,87927.99|68767.29,72564,114030.32,202915.31,77.95
Festivals and fairs,Merchandise|Financial|Merchandise|Financial|Media Sponsorship,40205.11|172072.02|27010.52|25294.98|89485.93,57371,296216.55,502979.68,69.8
Festivals and fairs,Financial|Food Stalls|Food Stalls|Merchandise,97221.24|4182.45|22216.52|10381.58,46057,106359.11,151759.45,42.69
Festivals and fairs,Media Sponsorship|Influencer|Food Stalls|Media Sponsorship|In Kind,79999.76|59307.02|37506.82|97918.75|1513.65,27244,234012.53,267978.55,14.51
Sports events,Media Sponsorship|Financial|Media Sponsorship|Influencer|Financial,61554.71|62313.0|10116.09|19287.75|181039.36,47662,259524.58,393436.91,51.6
Entertainment and media events,In Kind,91436.36,8658,68650.1,114279.54,66.47
Conferences and seminars,Food Stalls|Food Stalls|Influencer,32169.74|15754.67|13610.54,2218,51848.53,76535.34,47.61
Sports events,Merchandise|Food Stalls|Influencer|Influencer,8480.04|1329.86|14725.04|19295.86,79403,27010.21,33979.88,25.8
Sports events,Media Sponsorship|Influencer|Influencer|Food Stalls|Food Stalls,79367.85|78409.27|27296.12|42548.67|3327.14,44267,139819.03,171259.59,22.49
Virtual event,Financial|In Kind|Philanthropy|Media Sponsorship,102555.79|56135.76|4358.66|87675.96,3933,212662.87,384209.0,80.67
Virtual event,Financial|Philanthropy|Media Sponsorship,177570.13|10383.28|68402.81,6114,208590.24,304053.45,45.77
Conferences and seminars,Philanthropy|Food Stalls|Merchandise,34347.75|34715.68|19966.58,2112,57870.06,78693.81,35.98
Entertainment and media events,Food Stalls,3952.57,26555,2541.62,3697.43,45.48
Conferences and seminars,Merchandise|Philanthropy|Influencer,40616.77|45574.12|73822.41,4163,123211.4,173861.49,41.11
Sports events,Merchandise|Philanthropy,14405.82|11787.5,41565,20044.4,27448.26,36.94
Festivals and fairs,Food Stalls|Merchandise|Philanthropy,29989.85|9273.27|94887.69,93390,97322.54,164923.25,69.46
Entertainment and media events,Food Stalls|Media Sponsorship|In Kind|Philanthropy,35611.75|31927.6|45892.36|78357.68,8610,134678.67,177610.52,31.88
Entertainment and media events,In Kind,18631.73,44399,15836.83,28909.52,82.55
Conferences and seminars,Media Sponsorship|Food Stalls|Financial|Philanthropy|Philanthropy,85779.52|45413.11|173002.54|72994.08|77562.28,811,365728.71,483649.18,32.24
Entertainment and media events,Financial|Media Sponsorship,181355.18|72180.68,9888,154264.69,249787.71,61.92
Sports events,Merchandise|Financial|In Kind|Philanthropy,17647.6|34693.16|47207.17|76411.08,84455,130551.74,210031.0,60.88
Virtual event,Media Sponsorship|Influencer|Philanthropy|Merchandise,91567.38|19353.6|46156.98|29214.42,1426,150747.87,201223.37,33.48
Entertainment and media events,In Kind|Philanthropy,5893.26|55028.06,39363,44757.34,66824.54,49.3
Entertainment and media events,In Kind|Merchandise|Food Stalls|Merchandise,26687.7|3890.92|11484.29|48965.72,8078,55958.89,67681.32,20.95
Virtual event,Financial|Merchandise,81747.67|4537.93,1387,69158.94,113323.99,63.86
Sports events,Financial|Food Stalls,28948.06|49852.01,36033,57167.86,70099.83,22.62
Community and Charity events,Food Stalls,20674.81,3922,14528.42,26694.12,83.74
Conferences and seminars,Philanthropy|Influencer|In Kind|Media Sponsorship,84341.03|89148.27|18498.26|46957.22,3704,194623.17,300823.95,54.57
Virtual event,Philanthropy|Influencer,15584.09|34541.49,6953,35588.39,40634.59,14.18
Community and Charity events,Philanthropy|Food Stalls|Influencer|Philanthropy,7714.26|45255.05|21091.98|4268.77,2283,51482.99,64530.6,25.34
Festivals and fairs,Food Stalls,27166.8,64143,22298.94,32441.92,45.49
Sports events,Influencer,24920.89,2163,15824.66,28694.97,81.33
Festivals and fairs,In Kind,20765.38,2103,18177.81,24622.53,35.45
Virtual event,Media Sponsorship|Merchandise,33869.6|15737.19,9411,38010.12,64786.9,70.45
Festivals and fairs,In Kind,48555.28,9208,33179.16,55026.85,65.85
Entertainment and media events,Media Sponsorship|Philanthropy|In Kind,38077.7|11714.14|24336.96,5699,62638.29,82684.21,32.0
Sports events,Media Sponsorship,55853.53,26841,38986.84,71841.26,84.27
Conferences and seminars,Philanthropy,15133.21,3524,9857.41,11163.17,13.25
Community and Charity events,Philanthropy|Financial,76449.23|37567.88,3611,81978.17,111473.59,35.98
Sports events,Food Stalls,36448.79,14577,22160.14,37605.99,69.7
Conferences and seminars,Media Sponsorship|Food Stalls|Food Stalls|Philanthropy|In Kind,17755.6|28907.58|7106.87|46559.61|66830.46,1983,108088.21,132409.64,22.5
Festivals and fairs,Influencer|Philanthropy,42377.24|55203.19,90689,60798.65,76536.75,25.89
Entertainment and media events,Media Sponsorship|Philanthropy,56247.6|18876.15,22081,66944.67,109343.89,63.33
Sports events,Philanthropy|In Kind|Food Stalls|In Kind,40964.85|17483.02|1793.24|94680.98,54151,111187.45,212248.83,90.89
Conferences and seminars,Influencer|Philanthropy|Philanthropy|Merchandise|Influencer,2791.44|21975.18|60846.33|5136.81|88337.14,4938,148519.07,216400.41,45.71
Sports events,Financial,113624.74,30062,76557.8,110272.73,44.04
Festivals and fairs,In Kind,10889.78,34948,8058.9,10291.7,27.71
Community and Charity events,Influencer|Financial|Influencer,82326.13|178607.21|92594.6,1938,248323.68,411344.81,65.65
Community and Charity events,In Kind,38846.16,3299,23752.53,40196.1,69.23
Virtual event,Media Sponsorship|Financial|Financial|Philanthropy|Media Sponsorship,29702.26|180052.55|9751.4|14380.09|53085.16,3175,220865.98,268734.48,21.67
Entertainment and media events,In Kind|Media Sponsorship|In Kind|Food Stalls|Food Stalls,62567.47|90548.35|79022.53|27036.09|23438.23,5506,187400.79,311352.85,66.14
Virtual event,Media Sponsorship|Media Sponsorship|Merchandise|Influencer,7637.85|65820.63|1188.5|71555.54,2118,123799.66,238532.7,92.68
Entertainment and media events,Food Stalls,38137.78,597,28787.31,46697.24,62.21
Entertainment and media events,Media Sponsorship|Merchandise,98743.71|16503.92,45348,95886.0,119680.66,24.82
Virtual event,Philanthropy,51373.51,9879,39563.18,46949.96,18.67
Sports events,Influencer|Philanthropy,93189.09|28042.69,66842,76479.07,87086.43,13.87
Community and Charity events,Media Sponsorship,44044.95,3095,30229.61,58741.01,94.32
Entertainment and media events,Merchandise|Merchandise|Food Stalls|Philanthropy|Media Sponsorship,36912.81|38318.56|10509.07|94336.37|13101.89,24019,122309.05,154968.47,26.7
Virtual event,Merchandise|Philanthropy,14184.39|16838.39,3150,26835.08,29637.8,10.44
Conferences and seminars,Philanthropy|Media Sponsorship|Merchandise|Influencer,77543.34|86581.57|37093.13|89468.05,3067,198283.46,281263.75,41.85
Festivals and fairs,In Kind|Influencer|Food Stalls|Merchandise,49590.5|64174.18|28046.43|32276.94,72417,121372.41,220741.69,81.87
Festivals and fairs,Merchandise|Media Sponsorship|Financial,33780.16|46540.02|141229.43,35023,194910.99,314111.71,61.16
Entertainment and media events,Food Stalls|Financial,9007.53|144764.47,13420,104931.32,177000.55,68.68
Virtual event,Merchandise|Financial|Media Sponsorship|Merchandise|In Kind,3391.06|122410.4|66347.98|48556.59|54759.37,3974,182790.14,317648.01,73.78
Conferences and seminars,Media Sponsorship|Financial|Influencer|Financial|Philanthropy,81871.64|41017.55|85093.17|112099.32|52654.32,307,228425.91,328471.93,43.8
Virtual event,Media Sponsorship|Financial|In Kind,35384.68|69637.12|22911.89,7536,112756.13,186366.13,65.28
Conferences and seminars,Merchandise|Media Sponsorship|Merchandise|Influencer,46146.31|32255.17|19502.31|43989.67,3127,85212.34,95116.73,11.62
Festivals and fairs,Merchandise|In Kind,11014.03|71667.82,42809,56779.62,107020.22,88.48
Conferences and seminars,Financial|Merchandise|Merchandise|Food Stalls,172049.09|9386.43|7874.14|10299.99,3956,150910.19,238388.88,57.97
Community and Charity events,Philanthropy|Media Sponsorship|Food Stalls,39228.25|10436.6|25597.73,3695,48453.85,78715.2,62.45
Conferences and seminars,Merchandise|Philanthropy|Influencer,34418.27|5999.84|50690.7,4967,55463.13,64705.13,16.66
Festivals and fairs,Media Sponsorship,1218.04,78171,941.39,1741.58,85.0
Sports events,Financial|Merchandise|Food Stalls|In Kind,87437.42|5062.74|41442.72|9590.41,53638,110029.5,211839.04,92.53
Sports events,Merchandise|Influencer|Philanthropy|Financial,48183.56|51844.86|58730.87|71765.06,11131,170205.27,300769.53,76.71
Festivals and fairs,Philanthropy|Financial,64823.55|35031.88,96576,73757.45,99898.58,35.44
Conferences and seminars,Financial|Media Sponsorship|In Kind,58992.39|17156.38|71077.28,3996,123265.6,207274.41,68.15
Sports events,In Kind,36752.06,95475,25565.21,46818.14,83.13
Festivals and fairs,Financial|Influencer|Media Sponsorship,33857.19|52869.47|80140.84,67137,145400.6,243993.43,67.81
Sports events,In Kind|Media Sponsorship|Food Stalls,44775.58|81971.13|29356.09,29388,121097.04,140804.54,16.27
Entertainment and media events,In Kind,71896.2,35483,62907.91,97787.56,55.45
Festivals and fairs,Media Sponsorship,80726.51,9167,61967.36,98170.74,58.42
Conferences and seminars,Media Sponsorship|In Kind|In Kind,31576.6|75000.9|4890.5,3444,76946.44,86748.63,12.74
Community and Charity events,In Kind,1164.79,668,708.28,911.95,28.76
Virtual event,Media Sponsorship,69543.74,4076,52435.49,94632.11,80.47
Entertainment and media events,Financial,65281.01,30791,51335.17,60071.17,17.02
Community and Charity events,Food Stalls|Merchandise|Philanthropy,2466.78|22496.24|16335.71,641,33629.34,64975.86,93.21
Festivals and fairs,Philanthropy|Financial|Influencer|Financial|Food Stalls,61156.87|162049.9|63580.23|159010.38|32469.76,11447,363982.3,581753.27,59.83
Conferences and seminars,Philanthropy|Food Stalls|In Kind|Philanthropy,11718.37|9809.89|52701.69|23254.02,4767,86607.92,164758.14,90.23
Entertainment and media events,Merchandise|Merchandise|Financial,19991.89|48472.86|58762.99,4665,109933.1,144137.09,31.11
Entertainment and media events,Philanthropy,66073.7,48349,42909.36,64497.15,50.31
Entertainment and media events,Food Stalls|In Kind,37191.5|72055.3,32964,66037.81,94894.75,43.7
Festivals and fairs,In Kind|In Kind|Merchandise|Merchandise|Food Stalls,22600.9|91098.14|23560.8|13449.54|41836.08,11861,158649.85,250052.77,57.61
Community and Charity events,In Kind,19143.41,791,14238.9,16678.04,17.13
Sports events,Influencer|In Kind|Financial,62742.72|56221.18|50388.55,3646,108614.79,122557.57,12.84
Festivals and fairs,Financial|Food Stalls|Influencer|Media Sponsorship|Merchandise,101031.98|16301.97|1381.41|17719.15|16085.44,25547,136433.07,251368.37,84.24
Conferences and seminars,Merchandise|Merchandise|In Kind,5392.92|35523.21|59684.52,1726,81739.69,100383.86,22.81
Sports events,Food Stalls|Food Stalls|Philanthropy|Influencer,20267.22|36917.51|8032.51|88685.47,14358,122552.42,166183.98,35.6
Festivals and fairs,Financial,179515.22,11670,156484.03,305072.81,94.95
Sports events,Philanthropy|Philanthropy,42411.26|31501.88,82074,62426.74,108419.68,73.68
Conferences and seminars,Merchandise,38468.26,3720,25856.64,47294.83,82.91
Entertainment and media events,In Kind|In Kind|Merchandise|Philanthropy,31373.82|62049.69|35487.76|49297.26,20572,139737.19,192437.62,37.71
Sports events,Influencer|Influencer,36068.51|84072.93,71498,85183.35,150701.66,76.91
Festivals and fairs,Financial|Financial|Food Stalls,164347.28|175868.84|3640.79,30502,212281.55,408292.76,92.34
Entertainment and media events,Financial|Media Sponsorship|Financial,56263.47|16229.91|151353.34,36330,181637.43,234912.82,29.33
Entertainment and media events,Influencer|Influencer|Food Stalls|Merchandise|Merchandise,35863.21|29429.51|40330.03|9025.79|19244.15,49254,108235.89,209364.58,93.43
Sports events,In Kind|Media Sponsorship|Merchandise|Merchandise|Influencer,54035.52|96496.07|29583.26|19188.51|71853.71,55960,173570.25,260651.78,50.17
Entertainment and media events,Influencer|Media Sponsorship|Influencer|Merchandise|Media Sponsorship,28458.78|16921.38|62890.43|7884.5|60609.99,46204,119151.62,150895.24,26.64
Sports events,Food Stalls|In Kind|In Kind|In Kind|Philanthropy,17799.76|52744.36|95584.71|87274.94|23419.35,79993,240382.09,438298.54,82.33
Conferences and seminars,Philanthropy|Food Stalls|Influencer|Philanthropy,72816.57|10098.7|39418.17|86812.21,1027,145502.34,183057.84,25.81
Festivals and fairs,Food Stalls|Philanthropy|Media Sponsorship,35871.1|55663.75|21886.57,38206,82691.53,102925.66,24.47
Sports events,Philanthropy|Media Sponsorship,7934.7|18425.77,42860,16258.96,31126.16,91.44
Conferences and seminars,Media Sponsorship|Financial|Philanthropy|In Kind|Media Sponsorship,2947.97|91839.7|86832.23|81975.47|25763.66,2328,201644.61,275039.33,36.4
Entertainment and media events,Philanthropy|Philanthropy|Influencer|Philanthropy,6720.68|30785.54|29794.28|71304.76,7860,86196.64,136554.82,58.42
Virtual event,Influencer|Influencer|Philanthropy|Financial,62219.6|19658.12|31801.78|13177.19,1477,111687.64,221118.86,97.98
Sports events,Food Stalls,31150.44,30773,25709.88,43556.39,69.42
Entertainment and media events,Merchandise|Food Stalls|Media Sponsorship|Merchandise|Merchandise,28194.77|11001.64|22032.82|29202.57|21065.79,40424,80682.66,145086.22,79.82
Entertainment and media events,Financial|Financial|Food Stalls|Media Sponsorship|Media Sponsorship,16406.09|140920.24|25460.98|14315.17|75245.78,6082,212877.66,297880.59,39.93
Entertainment and media events,Food Stalls,33588.5,12149,26070.82,47662.17,82.82
Virtual event,Philanthropy|Influencer|Merchandise,67982.22|56609.94|34248.96,5211,99845.83,192699.33,93.0
Entertainment and media events,In Kind|Philanthropy|Merchandise|Food Stalls|Media Sponsorship,40059.5|26176.78|1154.98|22360.31|23300.82,39678,94107.89,121617.68,29.23
Community and Charity events,Philanthropy|Food Stalls,5936.42|11530.92,2853,11358.79,21597.98,90.14
Entertainment and media events,In Kind|Influencer|In Kind|Merchandise|Influencer,69852.36|97481.47|87491.64|16000.01|94517.58,20946,312109.31,499412.72,60.01
Sports events,Financial|Philanthropy,115974.38|79754.38,17056,170932.63,328552.17,92.21
Entertainment and media events,Influencer|Merchandise|Merchandise,31665.55|33637.63|5997.53,44927,44234.61,49727.12,12.42
Conferences and seminars,Financial|Media Sponsorship|Philanthropy|Influencer|Food Stalls,33225.14|73324.83|24277.65|36346.73|48103.77,2339,137169.31,240407.68,75.26
Community and Charity events,Food Stalls|Philanthropy,20602.73|48158.03,189,53386.7,63571.93,19.08
Conferences and seminars,Food Stalls|Financial|Merchandise,10397.25|167379.27|38601.98,4567,135813.43,265822.17,95.73
Sports events,In Kind|Media Sponsorship|Philanthropy|Philanthropy|In Kind,20060.05|84858.23|5341.05|81661.07|36178.5,57922,204372.25,276716.4,35.4
Sports events,Media Sponsorship|Food Stalls,1060.78|5010.41,42258,4278.44,7636.49,78.49
Festivals and fairs,Merchandise|Financial|In Kind|Philanthropy|Financial,18653.99|141398.8|32157.71|21456.71|25234.69,73176,152278.66,214547.44,40.89
Entertainment and media events,Philanthropy,51007.3,45155,37741.66,56575.12,49.9
Festivals and fairs,Food Stalls|Food Stalls|Media Sponsorship|Food Stalls|Food Stalls,39842.49|24928.31|88732.29|22457.71|22745.23,37447,145332.92,222954.63,53.41
Virtual event,Philanthropy|In Kind,55096.54|7414.11,4478,49954.25,63047.26,26.21
Sports events,In Kind|Influencer|Merchandise|Media Sponsorship|In Kind,82804.67|61603.57|7311.6|7654.96|53038.65,9331,151109.86,166697.95,10.32
Virtual event,Merchandise|In Kind|Media Sponsorship|Media Sponsorship,14735.15|46898.21|92860.24|48629.17,9044,177138.72,259710.24,46.61
Community and Charity events,Philanthropy|In Kind|Merchandise|Philanthropy|In Kind,61739.41|6044.01|26100.5|14652.34|79698.32,3611,126389.66,159742.93,26.39
Virtual event,Financial|Media Sponsorship|Merchandise,159675.97|95856.58|42588.07,9225,200131.53,236498.44,18.17
Festivals and fairs,Food Stalls,21339.73,93634,14819.41,20735.08,39.92
Festivals and fairs,Media Sponsorship|Food Stalls|Financial|In Kind,6550.9|34557.14|72207.42|4066.61,14286,103636.94,200848.64,93.8
Virtual event,Media Sponsorship|Merchandise|Financial|Merchandise,78167.33|39053.9|112847.9|3003.35,8670,163647.42,214950.43,31.35
Sports events,In Kind|Food Stalls|Influencer,32554.51|29101.68|65997.14,87764,98014.74,144766.44,47.7
Entertainment and media events,Financial|Merchandise,142132.5|954.58,46923,106105.19,124844.45,17.66
Conferences and seminars,In Kind|Food Stalls|Financial|Merchandise,31513.64|34160.46|38236.97|26923.91,2574,90022.98,127046.92,41.13
Conferences and seminars,Philanthropy,45335.18,282,30333.45,56656.17,86.78
Conferences and seminars,Media Sponsorship,20112.89,3368,12828.92,14239.75,11.0
Festivals and fairs,Philanthropy|Influencer,77781.49|77554.56,59018,120304.83,214945.16,78.67
Virtual event,Media Sponsorship|Influencer,17186.23|81210.29,2143,77385.32,90149.33,16.49
Conferences and seminars,Influencer|Financial|Financial|Financial|Philanthropy,76390.13|80448.71|138482.87|40641.31|84235.76,3411,328578.38,584546.6,77.9
Conferences and seminars,Food Stalls|Merchandise,42060.5|16277.4,3172,38841.18,65479.5,68.58
Community and Charity events,Food Stalls|Philanthropy,35106.99|23287.3,1315,36923.51,65815.53,78.25
Sports events,Philanthropy|Financial|Financial|In Kind,96371.48|38936.88|108644.63|50302.29,63319,218267.35,245379.97,12.42
Virtual event,Media Sponsorship|Philanthropy|Philanthropy|Merchandise|In Kind,90638.6|92417.23|78182.19|24036.24|90842.56,3405,293559.52,546712.12,86.24
Festivals and fairs,Media Sponsorship|Media Sponsorship|Food Stalls,46032.37|56161.52|18304.12,67274,78275.36,151222.66,93.19
Virtual event,Media Sponsorship|Media Sponsorship,40527.43|90052.42,9512,102872.74,185480.28,80.3
Sports events,In Kind|Philanthropy,93475.72|93544.0,86121,154522.25,261238.12,69.06
Conferences and seminars,Philanthropy,46998.7,375,29586.67,51335.16,73.51
Entertainment and media events,Merchandise|Food Stalls,4768.44|13890.48,11794,12409.8,16848.83,35.77
Conferences and seminars,Food Stalls|Merchandise,28093.49|11412.41,1096,26002.46,51475.42,97.96
Community and Charity events,Influencer|Philanthropy,70435.04|14348.13,3228,51178.74,74118.47,44.82
Conferences and seminars,Financial|Influencer|Financial|Media Sponsorship,92324.58|5596.21|175283.46|40761.79,4944,204703.33,232190.44,13.43
Community and Charity events,In Kind|In Kind,62301.37|1541.66,1827,50124.36,67911.85,35.49
Virtual event,Philanthropy,31897.21,5579,20978.54,28468.4,35.7
Festivals and fairs,Influencer|Philanthropy|Influencer,58213.13|7703.49|40758.62,75836,75761.91,93736.77,23.73
Entertainment and media events,In Kind,9686.48,11524,6068.13,8368.99,37.92
Virtual event,Philanthropy,49966.45,4859,33311.61,50326.45,51.08
Sports events,Merchandise|Influencer|Merchandise|Influencer|Influencer,37058.7|68342.46|25210.14|38991.73|1304.05,18027,142674.08,175376.47,22.92
Virtual event,Philanthropy,2535.36,9186,2085.93,4070.0,95.12
Entertainment and media events,In Kind|Financial|Financial,41365.98|64624.17|189558.97,39452,190219.94,230002.13,20.91
Conferences and seminars,Food Stalls|In Kind,25214.64|37503.95,4703,45714.34,64814.45,41.78
Virtual event,Influencer,59248.25,7503,51372.56,84172.09,63.85
Festivals and fairs,In Kind,16146.07,9468,14349.01,21860.52,52.35
Entertainment and media events,Philanthropy|Food Stalls,10576.92|39089.51,10936,37569.54,65819.17,75.19
Community and Charity events,Media Sponsorship|In Kind|Financial|Financial|Media Sponsorship,45688.08|58531.71|51120.16|27454.18|36093.98,1691,162094.62,214400.43,32.27
