Event Type,Expected Footfall,Number of Sponsors,Ticket Price,Sponsor Type,Sponsor Cost,Sponsor Revenue,Sponsor ROI
Conferences and seminars,4865,2,975.58,Merchandise,43725.15,87450.3,100
Conferences and seminars,4865,2,975.58,Media Sponsorship,83219.57,166439.14,100
Community and Charity events,4608,2,522.26,In Kind,81909.14,125276.43,52.95
Community and Charity events,4608,2,522.26,Media Sponsorship,36097.91,72195.82,100
Conferences and seminars,4853,3,220.97,Media Sponsorship,15120.71,27003.25,78.58
Conferences and seminars,4853,3,220.97,Merchandise,24280.91,38925.13,60.31
Conferences and seminars,4853,3,220.97,Media Sponsorship,9612.65,19225.3,100
Conferences and seminars,4381,3,601.27,Philanthropy,88364.76,153576.93,73.8
Conferences and seminars,4381,3,601.27,Influencer,86452.94,164299.87,90.05
Conferences and seminars,4381,3,601.27,Financial,99862.84,199725.68,100
Community and Charity events,4960,2,540.98,Merchandise,8397.52,12123.46,44.37
Community and Charity events,4960,2,540.98,Merchandise,13287.95,16157.83,21.6
Entertainment and media events,14990,4,75870.03,Influencer,95636.49,191272.98,100
Entertainment and media events,14990,4,75870.03,Philanthropy,39313.47,73135.76,86.03
Entertainment and media events,14990,4,75870.03,In Kind,65483.12,123624.66,88.79
Entertainment and media events,14990,4,75870.03,In Kind,2444.16,3943.08,61.33
Entertainment and media events,18019,5,32947.65,Financial,46450.89,92901.78,100
Entertainment and media events,18019,5,32947.65,Influencer,99009.13,198018.26,100
Entertainment and media events,18019,5,32947.65,Media Sponsorship,25853.69,51707.38,100
Entertainment and media events,18019,5,32947.65,Influencer,95998.12,191996.24,100
Entertainment and media events,18019,5,32947.65,Influencer,52168.82,104337.64,100
Entertainment and media events,36112,4,53223.81,Financial,60718.9,121437.8,100
Entertainment and media events,36112,4,53223.81,Media Sponsorship,85832.47,171664.94,100
Entertainment and media events,36112,4,53223.81,Financial,10828.75,21657.5,100
Entertainment and media events,36112,4,53223.81,Financial,68973.71,137947.42,100
Sports events,68146,1,46.95,Financial,131323.86,262647.72,100
Virtual event,7027,1,0,Influencer,82255.76,164511.52,100
Sports events,20493,1,182.03,Merchandise,40690.18,81380.36,100
Conferences and seminars,4604,3,167.94,Merchandise,47645.99,95291.98,100
Conferences and seminars,4604,3,167.94,Philanthropy,51339.38,89339.33,74.02
Conferences and seminars,4604,3,167.94,Media Sponsorship,84875.31,169750.62,100
Festivals and fairs,81003,4,0,Media Sponsorship,9634.23,19268.46,100
Festivals and fairs,81003,4,0,Influencer,87540.61,175081.22,100
Festivals and fairs,81003,4,0,Philanthropy,12383.68,24767.36,100
Festivals and fairs,81003,4,0,Merchandise,37384.04,64799.02,73.33
Community and Charity events,3586,4,950.23,Merchandise,42845.84,80247.25,87.29
Community and Charity events,3586,4,950.23,Merchandise,16244.66,32489.32,100
Community and Charity events,3586,4,950.23,Merchandise,13053.81,26107.62,100
Community and Charity events,3586,4,950.23,Food Stalls,48088.62,79262.34,64.83
Virtual event,3692,4,0,In Kind,37405.57,74811.14,100
Virtual event,3692,4,0,Financial,2718.13,4879.05,79.5
Virtual event,3692,4,0,In Kind,29492.36,58984.72,100
Virtual event,3692,4,0,In Kind,55562.95,79231.96,42.6
Community and Charity events,2633,5,26.77,Philanthropy,14365.03,22722.79,58.18
Community and Charity events,2633,5,26.77,Philanthropy,32240.31,53155.73,64.87
Community and Charity events,2633,5,26.77,In Kind,69416.48,94694.01,36.41
Community and Charity events,2633,5,26.77,Merchandise,38693.35,77386.7,100
Community and Charity events,2633,5,26.77,Media Sponsorship,1968.74,3501.78,77.87
Conferences and seminars,2936,5,409.77,In Kind,43337.16,86674.32,100
Conferences and seminars,2936,5,409.77,Food Stalls,14851.12,25079.9,68.88
Conferences and seminars,2936,5,409.77,In Kind,37709.42,48864.06,29.58
Conferences and seminars,2936,5,409.77,Media Sponsorship,16006.79,32013.58,100
Conferences and seminars,2936,5,409.77,Financial,113988.56,227977.12,100
Community and Charity events,1380,5,435.47,Media Sponsorship,31839.12,50212.22,57.71
Community and Charity events,1380,5,435.47,Financial,72500.57,117936.85,62.67
Community and Charity events,1380,5,435.47,Financial,57306.21,71433.91,24.65
Community and Charity events,1380,5,435.47,Food Stalls,9795.48,12477.12,27.38
Community and Charity events,1380,5,435.47,Influencer,16990.89,28950.45,70.39
Entertainment and media events,3178,5,29456.61,Influencer,7304.27,14608.54,100
Entertainment and media events,3178,5,29456.61,Financial,74973.58,149947.16,100
Entertainment and media events,3178,5,29456.61,Influencer,15387.05,30774.1,100
Entertainment and media events,3178,5,29456.61,Food Stalls,26366.48,52732.96,100
Entertainment and media events,3178,5,29456.61,Media Sponsorship,59885.6,119771.2,100
Festivals and fairs,5521,2,0,Influencer,41491.55,82983.1,100
Festivals and fairs,5521,2,0,Merchandise,23080.12,46160.24,100
Conferences and seminars,322,1,390.28,Food Stalls,28025.64,28025.64,0
Community and Charity events,4208,5,450.41,Philanthropy,96902.58,180691.62,86.47
Community and Charity events,4208,5,450.41,In Kind,61705.35,112656.88,82.57
Community and Charity events,4208,5,450.41,In Kind,91009.55,109794.08,20.64
Community and Charity events,4208,5,450.41,Financial,148180.52,270386.11,82.47
Community and Charity events,4208,5,450.41,Philanthropy,77337.5,100052.71,29.37
Community and Charity events,4666,3,478.82,In Kind,72016.53,99917.15,38.74
Community and Charity events,4666,3,478.82,Philanthropy,36497.88,54039.42,48.06
Community and Charity events,4666,3,478.82,In Kind,31290.16,46420.18,48.35
Community and Charity events,395,1,233.99,Merchandise,39116.9,39116.9,0
Festivals and fairs,1611,1,0,Food Stalls,44543.33,89086.66,100
Conferences and seminars,3918,5,704.28,Merchandise,40121.72,80243.44,100
Conferences and seminars,3918,5,704.28,Media Sponsorship,90898.54,181797.08,100
Conferences and seminars,3918,5,704.28,Influencer,44592.53,89185.06,100
Conferences and seminars,3918,5,704.28,Food Stalls,12348.09,20790.33,68.37
Conferences and seminars,3918,5,704.28,Media Sponsorship,59922.43,118825.89,98.3
Entertainment and media events,19410,3,16204.61,Financial,37111.11,74222.22,100
Entertainment and media events,19410,3,16204.61,Merchandise,16854.45,33708.9,100
Entertainment and media events,19410,3,16204.61,Influencer,7909.29,15818.58,100
Virtual event,3511,3,0,Merchandise,21042.57,33328.3,58.39
Virtual event,3511,3,0,Merchandise,11099.31,15602.66,40.57
Virtual event,3511,3,0,Merchandise,19823.17,29881.57,50.74
Conferences and seminars,4548,2,321.98,Influencer,8012.85,16025.7,100
Conferences and seminars,4548,2,321.98,Food Stalls,21916.95,43833.9,100
Community and Charity events,4084,5,943.91,Philanthropy,70265.63,109715.8,56.14
Community and Charity events,4084,5,943.91,Media Sponsorship,22173.45,39837.81,79.66
Community and Charity events,4084,5,943.91,Media Sponsorship,94837.72,189675.44,100
Community and Charity events,4084,5,943.91,Financial,165769.35,263652.02,59.05
Community and Charity events,4084,5,943.91,Food Stalls,9291.34,13696.71,47.41
Sports events,11366,2,921.78,Media Sponsorship,32379.78,64759.56,100
Sports events,11366,2,921.78,Food Stalls,48812.82,97625.64,100
Community and Charity events,3527,2,139.07,Media Sponsorship,33117.02,50601.51,52.8
Community and Charity events,3527,2,139.07,Media Sponsorship,7090.02,10950.26,54.45
Community and Charity events,1452,1,985.79,Philanthropy,10861.26,10861.26,0
Community and Charity events,4596,4,838.11,Influencer,59674.74,99460.11,66.67
Community and Charity events,4596,4,838.11,Media Sponsorship,92124.7,184249.4,100
Community and Charity events,4596,4,838.11,In Kind,21395.77,28868.9,34.93
Community and Charity events,4596,4,838.11,Merchandise,41453.27,80343.42,93.82
Festivals and fairs,42910,3,0,Financial,184647.58,369295.16,100
Festivals and fairs,42910,3,0,Philanthropy,74918.33,149836.66,100
Festivals and fairs,42910,3,0,Influencer,42422.22,84844.44,100
Conferences and seminars,1726,2,51.92,Philanthropy,40323.97,65231.6,61.77
Conferences and seminars,1726,2,51.92,Food Stalls,22771.91,45543.82,100
Sports events,60246,3,951.6,Merchandise,38133.58,75301.75,97.47
Sports events,60246,3,951.6,In Kind,50471.1,100942.2,100
Sports events,60246,3,951.6,Financial,158240.32,316480.64,100
Conferences and seminars,740,2,617.39,Merchandise,16726.14,16726.14,0
Conferences and seminars,740,2,617.39,Financial,187635.35,187635.35,0
Sports events,40351,2,32.79,Influencer,11363.42,22726.84,100
Sports events,40351,2,32.79,Influencer,20374.78,40749.56,100
Community and Charity events,4347,1,657.46,In Kind,67375.02,94123.5,39.7
Virtual event,3485,4,0,Merchandise,41831.04,83662.08,100
Virtual event,3485,4,0,Philanthropy,30304.34,59412.44,96.05
Virtual event,3485,4,0,Media Sponsorship,80673.58,161347.16,100
Virtual event,3485,4,0,Philanthropy,25343.96,44027.09,73.72
Festivals and fairs,76372,1,0,Philanthropy,15013.07,28297.55,88.49
Virtual event,8140,1,0,Influencer,63767.97,126523.91,98.41
Festivals and fairs,75227,2,0,Financial,90827.47,181654.94,100
Festivals and fairs,75227,2,0,Financial,132412.72,264825.44,100
Community and Charity events,1341,3,69.06,Food Stalls,37955.92,45640.18,20.25
Community and Charity events,1341,3,69.06,Financial,84188.37,104392.5,24.0
Community and Charity events,1341,3,69.06,Food Stalls,29799.63,34882.16,17.06
Entertainment and media events,16843,3,87689.77,Financial,104810.84,209621.68,100
Entertainment and media events,16843,3,87689.77,In Kind,47312.5,74950.39,58.42
Entertainment and media events,16843,3,87689.77,In Kind,7227.85,13875.1,91.97
Conferences and seminars,2376,4,999.1,In Kind,79245.41,158490.82,100
Conferences and seminars,2376,4,999.1,Food Stalls,32557.03,57487.8,76.58
Conferences and seminars,2376,4,999.1,In Kind,6950.09,9345.54,34.47
Conferences and seminars,2376,4,999.1,In Kind,65751.22,124192.41,88.88
Conferences and seminars,2621,1,35.37,Media Sponsorship,33669.12,67338.24,100
Entertainment and media events,19787,2,42638.86,Philanthropy,50388.86,100777.72,100
Entertainment and media events,19787,2,42638.86,Philanthropy,75912.98,151825.96,100
Festivals and fairs,69998,3,0,Merchandise,25076.7,50153.4,100
Festivals and fairs,69998,3,0,Merchandise,33221.33,66442.66,100
Festivals and fairs,69998,3,0,Food Stalls,13591.77,25296.81,86.12
Community and Charity events,1166,2,934.92,Food Stalls,17742.22,19031.08,7.26
Community and Charity events,1166,2,934.92,In Kind,53894.89,53894.89,0
Conferences and seminars,512,2,310.91,Influencer,24838.66,24838.66,0
Conferences and seminars,512,2,310.91,Food Stalls,49485.64,49485.64,0
Virtual event,9212,2,0,Philanthropy,77052.91,154105.82,100
Virtual event,9212,2,0,Philanthropy,62501.74,88033.02,40.85
Festivals and fairs,83217,3,0,Financial,169654.02,339308.04,100
Festivals and fairs,83217,3,0,In Kind,4404.74,6784.32,54.02
Festivals and fairs,83217,3,0,Media Sponsorship,70344.71,140689.42,100
Conferences and seminars,1978,2,595.96,Financial,4874.67,9749.34,100
Conferences and seminars,1978,2,595.96,Financial,128501.82,257003.64,100
Entertainment and media events,41134,2,97692.39,Food Stalls,3978.95,7957.9,100
Entertainment and media events,41134,2,97692.39,In Kind,86508.88,160482.97,85.51
Festivals and fairs,51752,3,0,Media Sponsorship,72312.72,144625.44,100
Festivals and fairs,51752,3,0,Media Sponsorship,43464.89,86929.78,100
Festivals and fairs,51752,3,0,Influencer,48971.07,97942.14,100
Sports events,7650,1,937.97,Media Sponsorship,98673.32,197346.64,100
Sports events,15449,5,502.55,Merchandise,36552.09,73104.18,100
Sports events,15449,5,502.55,Food Stalls,17269.93,34539.86,100
Sports events,15449,5,502.55,Food Stalls,9643.99,19287.98,100
Sports events,15449,5,502.55,Food Stalls,35096.01,70192.02,100
Sports events,15449,5,502.55,Media Sponsorship,16523.82,33047.64,100
Virtual event,5264,1,0,In Kind,25855.99,31746.61,22.78
Virtual event,7828,4,0,Financial,163191.23,326382.46,100
Virtual event,7828,4,0,Influencer,76572.15,153144.3,100
Virtual event,7828,4,0,Influencer,93948.22,187896.44,100
Virtual event,7828,4,0,Influencer,98961.0,197922.0,100
Community and Charity events,3355,5,954.71,Philanthropy,23379.65,24166.76,3.37
Community and Charity events,3355,5,954.71,In Kind,18466.99,24199.23,31.04
Community and Charity events,3355,5,954.71,Influencer,56709.93,113419.86,100
Community and Charity events,3355,5,954.71,In Kind,20730.23,32734.99,57.91
Community and Charity events,3355,5,954.71,Financial,6307.51,10483.24,66.2
Conferences and seminars,3222,2,855.24,Philanthropy,47518.58,71371.26,50.2
Conferences and seminars,3222,2,855.24,In Kind,33819.38,67638.76,100
Sports events,13429,4,234.29,Food Stalls,17192.56,34385.12,100
Sports events,13429,4,234.29,Philanthropy,1384.29,2768.58,100
Sports events,13429,4,234.29,Merchandise,39385.35,72283.49,83.53
Sports events,13429,4,234.29,Merchandise,35282.96,70565.92,100
Community and Charity events,3901,4,405.42,Influencer,83985.03,167970.06,100
Community and Charity events,3901,4,405.42,Food Stalls,22878.73,37900.64,65.66
Community and Charity events,3901,4,405.42,Merchandise,44884.0,83734.44,86.56
Community and Charity events,3901,4,405.42,Merchandise,9886.88,16159.6,63.44
Sports events,84227,4,265.76,Media Sponsorship,5913.58,11827.16,100
Sports events,84227,4,265.76,In Kind,31120.24,50829.24,63.33
Sports events,84227,4,265.76,Media Sponsorship,94714.53,189429.06,100
Sports events,84227,4,265.76,Food Stalls,1642.95,3285.9,100
Community and Charity events,2527,1,869.99,Merchandise,40204.43,60046.72,49.35
Festivals and fairs,55084,3,0,Food Stalls,4422.91,8845.82,100
Festivals and fairs,55084,3,0,Food Stalls,13580.15,25184.2,85.45
Festivals and fairs,55084,3,0,In Kind,93133.17,186266.34,100
Conferences and seminars,4258,5,819.35,Philanthropy,94096.83,188193.66,100
Conferences and seminars,4258,5,819.35,Food Stalls,17814.83,26254.4,47.37
Conferences and seminars,4258,5,819.35,Financial,165252.61,330505.22,100
Conferences and seminars,4258,5,819.35,Influencer,40516.72,81033.44,100
Conferences and seminars,4258,5,819.35,Food Stalls,37199.62,74399.24,100
Conferences and seminars,1799,3,457.32,Merchandise,49319.88,77565.78,57.27
Conferences and seminars,1799,3,457.32,Financial,172705.96,345411.92,100
Conferences and seminars,1799,3,457.32,Merchandise,49213.45,98426.9,100
Entertainment and media events,10577,1,5112.1,Influencer,91908.35,183816.7,100
Conferences and seminars,863,5,449.15,Media Sponsorship,13653.81,19440.79,42.38
Conferences and seminars,863,5,449.15,Influencer,39091.42,39091.42,0
Conferences and seminars,863,5,449.15,Merchandise,28207.23,29370.01,4.12
Conferences and seminars,863,5,449.15,In Kind,17345.75,17345.75,0
Conferences and seminars,863,5,449.15,Merchandise,39253.21,39672.36,1.07
Festivals and fairs,87782,3,0,Influencer,65118.06,130236.12,100
Festivals and fairs,87782,3,0,Influencer,81162.3,162324.6,100
Festivals and fairs,87782,3,0,Financial,70638.06,141276.12,100
Entertainment and media events,14760,5,24688.62,Media Sponsorship,59773.01,119546.02,100
Entertainment and media events,14760,5,24688.62,Philanthropy,85696.92,171393.84,100
Entertainment and media events,14760,5,24688.62,Food Stalls,49005.29,98010.58,100
Entertainment and media events,14760,5,24688.62,Food Stalls,1693.18,3386.36,100
Entertainment and media events,14760,5,24688.62,Influencer,28159.96,56319.92,100
Festivals and fairs,12213,2,0,Food Stalls,1697.48,3394.96,100
Festivals and fairs,12213,2,0,Media Sponsorship,31006.16,62012.32,100
Conferences and seminars,439,1,338.72,Financial,152949.84,152949.84,0
Community and Charity events,2411,5,34.03,Media Sponsorship,33680.71,66360.38,97.03
Community and Charity events,2411,5,34.03,Financial,25068.94,50137.88,100
Community and Charity events,2411,5,34.03,In Kind,2535.45,2946.22,16.2
Community and Charity events,2411,5,34.03,Financial,38115.74,76231.48,100
Community and Charity events,2411,5,34.03,Merchandise,26694.84,52864.97,98.03
Festivals and fairs,70906,4,0,Philanthropy,10763.21,21526.42,100
Festivals and fairs,70906,4,0,In Kind,95955.74,191911.48,100
Festivals and fairs,70906,4,0,Food Stalls,15283.09,29621.89,93.82
Festivals and fairs,70906,4,0,Food Stalls,19116.82,35152.13,83.88
Community and Charity events,2734,4,615.64,In Kind,84813.24,112801.25,33.0
Community and Charity events,2734,4,615.64,Food Stalls,12479.82,19000.41,52.25
Community and Charity events,2734,4,615.64,Food Stalls,42342.35,57954.93,36.87
Community and Charity events,2734,4,615.64,Merchandise,22780.69,40267.6,76.76
Sports events,10017,1,871.68,Influencer,94378.38,188756.76,100
Conferences and seminars,1328,1,919.23,Food Stalls,45518.01,64226.14,41.1
Community and Charity events,4159,5,742.7,Media Sponsorship,33182.08,66364.16,100
Community and Charity events,4159,5,742.7,Influencer,40390.37,59698.25,47.8
Community and Charity events,4159,5,742.7,Merchandise,17711.57,30711.41,73.4
Community and Charity events,4159,5,742.7,Food Stalls,1339.26,1586.11,18.43
Community and Charity events,4159,5,742.7,Food Stalls,5883.32,11766.64,100
Entertainment and media events,39029,2,72035.46,Media Sponsorship,19582.99,38638.35,97.31
Entertainment and media events,39029,2,72035.46,Media Sponsorship,91054.7,182109.4,100
Sports events,57395,4,272.41,Food Stalls,19031.52,38063.04,100
Sports events,57395,4,272.41,Influencer,1017.95,2035.9,100
Sports events,57395,4,272.41,In Kind,65416.29,122409.92,87.12
Sports events,57395,4,272.41,Merchandise,42730.89,85461.78,100
Community and Charity events,2536,2,934.83,Merchandise,11866.09,20964.9,76.68
Community and Charity events,2536,2,934.83,In Kind,34853.72,58588.3,68.1
Festivals and fairs,35100,3,0,Food Stalls,48958.22,97915.16,100.0
Festivals and fairs,35100,3,0,In Kind,65691.98,116363.14,77.13
Festivals and fairs,35100,3,0,Philanthropy,94624.66,189249.32,100
Conferences and seminars,524,5,637.19,Food Stalls,18867.33,18867.33,0
Conferences and seminars,524,5,637.19,In Kind,74786.86,74786.86,0
Conferences and seminars,524,5,637.19,Food Stalls,16380.56,16380.56,0
Conferences and seminars,524,5,637.19,Merchandise,14437.26,14437.26,0
Conferences and seminars,524,5,637.19,Merchandise,40800.57,40800.57,0
Sports events,42195,1,883.91,In Kind,92257.25,184514.5,100
Entertainment and media events,13133,1,25787.08,Influencer,44346.8,88693.6,100
Festivals and fairs,42964,4,0,Merchandise,41457.29,82914.58,100
Festivals and fairs,42964,4,0,Philanthropy,20398.4,40796.8,100
Festivals and fairs,42964,4,0,Financial,91315.62,182631.24,100
Festivals and fairs,42964,4,0,Food Stalls,11796.32,23592.64,100
Sports events,93889,4,93.38,Influencer,73850.21,147700.42,100
Sports events,93889,4,93.38,Financial,120821.76,241643.52,100
Sports events,93889,4,93.38,In Kind,7916.12,15832.24,100
Sports events,93889,4,93.38,Financial,151751.23,303502.46,100
Community and Charity events,3237,2,472.77,Merchandise,33542.86,57271.41,70.74
Community and Charity events,3237,2,472.77,Philanthropy,24153.58,27262.98,12.87
Community and Charity events,2472,4,530.3,Media Sponsorship,20627.5,29687.6,43.92
Community and Charity events,2472,4,530.3,In Kind,70711.76,133658.16,89.02
Community and Charity events,2472,4,530.3,In Kind,58213.23,70468.59,21.05
Community and Charity events,2472,4,530.3,Influencer,38474.95,75897.59,97.26
Entertainment and media events,11037,4,48633.85,Influencer,25880.6,51761.2,100
Entertainment and media events,11037,4,48633.85,Merchandise,44608.44,79728.16,78.73
Entertainment and media events,11037,4,48633.85,Financial,150464.92,300929.84,100
Entertainment and media events,11037,4,48633.85,Philanthropy,76761.2,122196.21,59.19
Entertainment and media events,21775,1,71370.88,Financial,104618.23,209236.46,100
Sports events,62767,2,940.4,Food Stalls,31633.65,63267.3,100
Sports events,62767,2,940.4,Influencer,55610.03,111220.06,100
Sports events,81477,4,484.74,Merchandise,45762.14,91524.28,100
Sports events,81477,4,484.74,Merchandise,20062.23,36655.68,82.71
Sports events,81477,4,484.74,Financial,134079.27,268158.54,100
Sports events,81477,4,484.74,Food Stalls,43670.07,87340.14,100
Community and Charity events,3073,3,870.29,Media Sponsorship,82245.95,164491.9,100
Community and Charity events,3073,3,870.29,Merchandise,28829.0,50488.39,75.13
Community and Charity events,3073,3,870.29,In Kind,37603.37,39650.33,5.44
Festivals and fairs,46437,1,0,Philanthropy,45853.15,91706.3,100
Sports events,53028,4,48.66,Financial,135647.66,271295.32,100
Sports events,53028,4,48.66,In Kind,41970.26,83940.52,100
Sports events,53028,4,48.66,Influencer,86929.23,173858.46,100
Sports events,53028,4,48.66,Media Sponsorship,46983.05,93966.1,100
Entertainment and media events,37180,5,87964.27,Influencer,9259.6,18519.2,100
Entertainment and media events,37180,5,87964.27,Merchandise,12642.42,25284.84,100
Entertainment and media events,37180,5,87964.27,Influencer,51561.15,103122.3,100
Entertainment and media events,37180,5,87964.27,Food Stalls,28502.42,53508.73,87.73
Entertainment and media events,37180,5,87964.27,Influencer,92248.68,184497.36,100
Sports events,2643,4,186.05,In Kind,88738.4,142647.41,60.75
Sports events,2643,4,186.05,Influencer,13906.22,27812.44,100
Sports events,2643,4,186.05,Influencer,26060.44,52120.88,100
Sports events,2643,4,186.05,Influencer,21629.09,43258.18,100
Entertainment and media events,49898,5,9175.3,Merchandise,41842.56,83685.12,100
Entertainment and media events,49898,5,9175.3,Media Sponsorship,9456.18,18912.36,100
Entertainment and media events,49898,5,9175.3,Food Stalls,21983.13,35298.68,60.57
Entertainment and media events,49898,5,9175.3,Merchandise,44658.67,89317.34,100
Entertainment and media events,49898,5,9175.3,In Kind,96752.74,193505.48,100
Entertainment and media events,13005,5,19267.4,Merchandise,20375.52,40751.04,100
Entertainment and media events,13005,5,19267.4,In Kind,13827.68,27655.36,100
Entertainment and media events,13005,5,19267.4,Influencer,41872.73,81360.84,94.31
Entertainment and media events,13005,5,19267.4,In Kind,77988.3,155976.6,100
Entertainment and media events,13005,5,19267.4,In Kind,10560.69,21121.38,100
Conferences and seminars,3744,1,564.39,Food Stalls,40513.07,81026.14,100
Virtual event,4478,4,0,Financial,169301.68,338603.36,100
Virtual event,4478,4,0,Financial,129575.69,259151.38,100
Virtual event,4478,4,0,Merchandise,6493.29,12986.58,100
Virtual event,4478,4,0,Merchandise,35937.55,71875.1,100
Conferences and seminars,1400,3,498.73,Media Sponsorship,21799.18,43598.36,100
Conferences and seminars,1400,3,498.73,Financial,188700.51,377401.02,100
Conferences and seminars,1400,3,498.73,In Kind,94971.44,131040.36,37.98
Conferences and seminars,179,3,294.06,Merchandise,38905.18,38905.18,0
Conferences and seminars,179,3,294.06,Food Stalls,43713.13,43713.13,0
Conferences and seminars,179,3,294.06,Financial,31990.16,31990.16,0
Festivals and fairs,90335,4,0,Food Stalls,38445.48,75826.82,97.23
Festivals and fairs,90335,4,0,Philanthropy,11001.05,22002.1,100
Festivals and fairs,90335,4,0,In Kind,98734.91,197469.82,100
Festivals and fairs,90335,4,0,Media Sponsorship,30372.58,60745.16,100
Community and Charity events,1021,5,409.99,Financial,20209.86,20209.86,0
Community and Charity events,1021,5,409.99,In Kind,44667.13,44667.13,0
Community and Charity events,1021,5,409.99,Financial,104398.38,146205.53,40.05
Community and Charity events,1021,5,409.99,Financial,107047.37,140595.32,31.34
Community and Charity events,1021,5,409.99,Media Sponsorship,45440.71,49453.4,8.83
Festivals and fairs,54473,3,0,Influencer,23361.11,46722.22,100
Festivals and fairs,54473,3,0,Media Sponsorship,21738.42,43476.84,100
Festivals and fairs,54473,3,0,In Kind,22928.9,45857.8,100
Entertainment and media events,46775,2,73148.38,Financial,137269.8,274539.6,100
Entertainment and media events,46775,2,73148.38,Influencer,10104.29,20208.58,100
Entertainment and media events,40516,1,26836.92,Influencer,45080.36,90160.72,100
Conferences and seminars,915,1,769.17,Influencer,14020.96,14851.28,5.92
Entertainment and media events,24138,4,34387.23,Financial,69206.78,138413.56,100
Entertainment and media events,24138,4,34387.23,In Kind,30584.07,50742.4,65.91
Entertainment and media events,24138,4,34387.23,Food Stalls,29750.42,59500.84,100
Entertainment and media events,24138,4,34387.23,Influencer,6101.24,12202.48,100
Community and Charity events,1484,4,267.86,In Kind,17019.47,17270.18,1.47
Community and Charity events,1484,4,267.86,Media Sponsorship,46254.05,84304.28,82.26
Community and Charity events,1484,4,267.86,In Kind,86443.97,105964.17,22.58
Community and Charity events,1484,4,267.86,Philanthropy,40697.32,45090.65,10.8
Conferences and seminars,1629,1,520.76,Merchandise,28221.77,33860.72,19.98
Community and Charity events,4929,3,415.76,Philanthropy,48533.01,89447.21,84.3
Community and Charity events,4929,3,415.76,Influencer,8618.46,17236.92,100
Community and Charity events,4929,3,415.76,In Kind,7084.47,9694.29,36.84
Community and Charity events,4657,4,904.97,Media Sponsorship,97376.16,194752.32,100
Community and Charity events,4657,4,904.97,Merchandise,5492.47,7930.47,44.39
Community and Charity events,4657,4,904.97,Food Stalls,26767.0,36528.55,36.47
Community and Charity events,4657,4,904.97,Merchandise,1869.59,2553.61,36.59
Virtual event,6354,3,0,Influencer,18545.47,34221.74,84.53
Virtual event,6354,3,0,Influencer,6047.82,10850.67,79.41
Virtual event,6354,3,0,Influencer,76599.34,153198.68,100
Entertainment and media events,45258,2,65002.73,Food Stalls,14397.9,28795.8,100
Entertainment and media events,45258,2,65002.73,Food Stalls,34805.5,69611.0,100
Sports events,90586,3,126.71,Financial,104929.99,209859.98,100
Sports events,90586,3,126.71,In Kind,23961.95,47923.9,100
Sports events,90586,3,126.71,Philanthropy,12719.61,25439.22,100
Entertainment and media events,31972,4,70935.8,Merchandise,27697.6,55395.2,100
Entertainment and media events,31972,4,70935.8,Financial,103910.85,207821.7,100
Entertainment and media events,31972,4,70935.8,Financial,187777.68,375555.36,100
Entertainment and media events,31972,4,70935.8,Philanthropy,55248.65,95465.65,72.79
Conferences and seminars,4020,3,21.97,In Kind,37115.31,70738.78,90.59
Conferences and seminars,4020,3,21.97,Financial,29655.48,59310.96,100
Conferences and seminars,4020,3,21.97,Merchandise,2263.08,3350.35,48.04
Virtual event,1001,4,0,Influencer,12472.57,12472.57,0
Virtual event,1001,4,0,Financial,17216.75,23742.03,37.9
Virtual event,1001,4,0,Influencer,85950.98,85950.98,0
Virtual event,1001,4,0,Financial,46654.5,58111.09,24.56
Entertainment and media events,9755,4,99214.5,Merchandise,5072.22,10144.44,100
Entertainment and media events,9755,4,99214.5,Philanthropy,59092.76,92603.95,56.71
Entertainment and media events,9755,4,99214.5,Media Sponsorship,17223.5,34447.0,100
Entertainment and media events,9755,4,99214.5,Merchandise,24553.85,49107.7,100
Virtual event,5897,1,0,Influencer,81319.87,162639.74,100
Entertainment and media events,15333,1,52474.59,Philanthropy,46875.96,89013.63,89.89
Entertainment and media events,43870,4,86061.38,Influencer,34004.2,68008.4,100
Entertainment and media events,43870,4,86061.38,Media Sponsorship,49994.15,98353.49,96.73
Entertainment and media events,43870,4,86061.38,Media Sponsorship,10552.2,21104.4,100
Entertainment and media events,43870,4,86061.38,Financial,148094.72,296189.44,100
Festivals and fairs,75527,4,0,In Kind,14556.88,24035.92,65.12
Festivals and fairs,75527,4,0,Financial,74492.24,148984.48,100
Festivals and fairs,75527,4,0,Influencer,48132.92,96265.84,100
Festivals and fairs,75527,4,0,Financial,33453.45,66906.9,100
Festivals and fairs,90156,2,0,In Kind,26821.84,53643.68,100
Festivals and fairs,90156,2,0,In Kind,43746.75,87493.5,100
Conferences and seminars,4840,1,445.96,Influencer,38589.56,77179.12,100
Festivals and fairs,26206,3,0,Influencer,7947.7,15895.4,100
Festivals and fairs,26206,3,0,Food Stalls,21772.24,43544.48,100
Festivals and fairs,26206,3,0,Financial,198428.93,396857.86,100
Conferences and seminars,410,2,292.23,Philanthropy,83862.97,83862.97,0
Conferences and seminars,410,2,292.23,Financial,54463.29,54463.29,0
Community and Charity events,510,1,360.61,Philanthropy,83586.91,83586.91,0
Conferences and seminars,4048,4,310.55,Food Stalls,35302.14,69811.47,97.75
Conferences and seminars,4048,4,310.55,Influencer,86023.39,172046.78,100
Conferences and seminars,4048,4,310.55,Food Stalls,38074.48,76148.96,100
